campaign_id,seed,episode,exploration,selected_matching,zero_scale_matching,zero_scale_difference,optimal_matching,mode,true_value,optimal_value,value_ratio,observed_return,trajectory_fluctuation,trajectory_deviation,trajectory_sigma,shared_reset_deviation_scale,beta,beta_zero_scale,parameter_confidence_ratio,max_edge_confidence_ratio,raw_certificate_increment,clipped_certificate_increment,certificate_slack,cumulative_universal_utilization,tracking_tube_utilization,trajectory_fluctuation_utilization,trajectory_deviation_utilization,phase_fluctuation_tube_utilization,phase_deviation_tube_utilization,reset_utilization,actuator_utilization,validity_utilization,theta_hat_l1,theta_hat_l2
TRAJ-MICRO-V1,12031,15,1,0-3;1-1;2-4,0-3;1-1;2-4,0,0-2;1-1;2-3,3,0.8197773368078064,0.8576301563754672,0.9558634694847542,0.8290050687228941,0.00922773191508779,0.00922773191508779,0.0548271522404341,0.0548271522404341,0.47165037062610904,0.275,0.1068995180437684,0.09140993669569317,0.6,0.6,0.9909622586200728,0.9999999999999998,0.06505098804596572,0.16830587652302856,0.16830587652302856,1.0,1.0,0.21245914639969937,0.06195332194853877,0.06023239633885714,1.1999999999999997,0.492660258767174
TRAJ-MICRO-V1,12031,16,1,0-4;1-0;2-1,0-4;1-0;2-1,0,0-1;1-3;2-2,1,0.7968980743952401,0.8625581810163915,0.9238774750895283,0.7763872854953109,-0.02051078889992921,-0.02051078889992921,0.0548271522404341,0.0548271522404341,0.4723321300083869,0.275,0.10239788141289723,0.07351130038058275,0.6,0.6,0.9656189838870444,0.9999999999999998,0.22841918950240284,0.37409911078334007,0.37409911078334007,1.0,1.0,0.5659615711335886,0.21754208524038363,0.21149924953926186,1.2,0.49302024319694465
TRAJ-MICRO-V1,12031,17,1,0-4;1-2;2-1,0-4;1-2;2-1,0,0-0;1-2;2-3,1,0.811636932392011,0.845601576959308,0.9598337497318414,0.8249251018248516,0.01328816943284066,0.01328816943284066,0.0548271522404341,0.0548271522404341,0.47379736111648885,0.275,0.08649460207772096,0.06095797501073738,0.6,0.6,0.988836143912357,0.9999999999999998,0.10544393471770673,0.24236475705628313,0.24236475705628313,1.0,1.0,0.29462782549439487,0.1004227949692445,0.09763327288676547,1.2,0.49399337351691036
TRAJ-MICRO-V1,12031,18,1,0-0;1-1;2-4,0-0;1-1;2-4,0,0-2;1-1;2-3,0,0.7883384990729931,0.8378477399317393,0.9409090238009358,0.7852524228561918,-0.0030860762168013764,-0.0030860762168013764,0.0548271522404341,0.0548271522404341,0.4749113036874254,0.275,0.08869192364397276,0.06125324955961733,0.6,0.6,0.9694146291071235,0.9999999999999999,0.08564064352602711,0.056287370229771795,0.056287370229771795,1.0,1.0,0.2704323955363994,0.08156251764383533,0.07929689215372879,1.2000000000000002,0.494013591882654
TRAJ-MICRO-V1,12031,19,0,0-1;1-3;2-2,0-1;1-3;2-2,0,0-1;1-3;2-2,3,0.8313144573111174,0.8313144573111174,1.0,0.8343288386638786,0.00301438135276125,0.00301438135276125,0.0548271522404341,0.0548271522404341,0.47608404342699967,0.275,0.08846145894382296,0.058449513727815726,0.5579071398352031,0.5579071398352031,0.9735643684907618,0.996307643845193,0.06069563531896775,0.054979717705239385,0.054979717705239385,1.0,1.0,0.12586506222494345,0.05780536697044547,0.05619966233237755,1.2,0.49419521554725987
TRAJ-MICRO-V1,12031,20,0,0-0;1-2;2-1,0-0;1-2;2-1,0,0-3;1-2;2-1,1,0.8165400690905367,0.8189685513273407,0.9970347063597643,0.8254053453022384,0.008865276211701759,0.008865276211701759,0.0548271522404341,0.0548271522404341,0.47788781827332005,0.275,0.0883164969688972,0.06149426290224747,0.5400254808773585,0.5400254808773585,0.9470812743042247,0.9914943850593799,0.16589557649386846,0.16169499690271652,0.16169499690271652,1.0,1.0,0.4419417382415922,0.15799578713701753,0.15360701527210038,1.2,0.4941654330563695
TRAJ-MICRO-V1,12031,21,0,0-2;1-1;2-0,0-2;1-1;2-3,1,0-2;1-1;2-3,2,0.8128855997703812,0.8245938427322431,0.9858012001119638,0.8122826387947663,-0.0006029609756149326,-0.0006029609756149326,0.0548271522404341,0.0548271522404341,0.47934764903808336,0.275,0.08969371338254407,0.06204114668071225,0.4634432701498811,0.4634432701498811,0.8640319485541408,0.9810615786398763,0.0937321133837258,0.01099748848838184,0.01099748848838184,0.9999999999999999,0.9999999999999999,0.13258252147247762,0.08926867941307218,0.08678899387382018,1.2000000000000002,0.49421294732480936
TRAJ-MICRO-V1,12031,22,0,0-4;1-3;2-2,0-1;1-3;2-2,1,0-1;1-3;2-2,2,0.7918670356401402,0.8311508703797945,0.9527356149892454,0.7970311359892782,0.00516410034913805,0.00516410034913805,0.0548271522404341,0.0548271522404341,0.48064882281139243,0.275,0.08733186250711397,0.06508007993384453,0.5398632533349488,0.5398632533349488,0.9161548537851917,0.9773666018331355,0.2857856092371366,0.09418873930369144,0.09418873930369144,0.9999999999999999,0.9999999999999999,0.8838834764831844,0.27217677070203483,0.2646163048492005,1.1999999999999997,0.4943628905731064
TRAJ-MICRO-V1,12031,23,0,0-1;1-2;2-4,0-1;1-2;2-4,0,0-0;1-2;2-1,3,0.8259045482052324,0.8386033593975495,0.9848571901721931,0.8264379947565504,0.0005334465513180159,0.0005334465513180159,0.0548271522404341,0.0548271522404341,0.4820446907582507,0.275,0.08689201740791286,0.05846591726218351,0.5737984506099459,0.5737984506099459,0.9804013191164036,0.97645199962372,0.10860823070293588,0.00972960530539115,0.00972960530539115,1.0000000000000002,1.0000000000000002,0.2398096756921112,0.10343641019327225,0.10056317657679247,1.2,0.4945905449263502
TRAJ-MICRO-V1,12031,24,0,0-0;1-4;2-3,0-0;1-1;2-3,1,0-0;1-1;2-3,3,0.7831781705170001,0.8203133532571084,0.9547304909853526,0.7910257875762039,0.007847617059203815,0.007847617059203815,0.0548271522404341,0.0548271522404341,0.4834429212286775,0.275,0.08654287744367394,0.05573271829222226,0.598182796758522,0.598182796758522,0.971204290646968,0.9773069716365179,0.06239405623473961,0.14313377110650533,0.14313377110650533,1.0,1.0,0.0,0.05942291069975201,0.05777227429142556,1.2,0.49460105178326547
